"Gene"	"TCGA_TCGA-D9-A148"	"TCGA_TCGA-DA-A3F2"	"TCGA_TCGA-EE-A2GS"	"TCGA_TCGA-EE-A3JI"	"TCGA_TCGA-ER-A2NF"	"TCGA_TCGA-ER-A2NG"	"TCGA_TCGA-FR-A3YN"	"TCGA_TCGA-FR-A3YO"	"TCGA_TCGA-FR-A69P"	"TCGA_TCGA-FR-A7U9"	"TCGA_TCGA-FR-A8YD"	"TCGA_TCGA-GN-A4U4"	"TCGA_TCGA-GN-A4U9"	"TCGA_TCGA-GN-A8LK"	"TCGA_TCGA-GN-A8LN"	"TCGA_TCGA-QB-AA9O"	"TCGA_TCGA-WE-A8K5"	"TCGA_TCGA-WE-AAA0"	"TCGA_TCGA-WE-AAA4"
"MRFAP1L1"	622.5621	588.3534	1420.7715	1101.7456	715.738	538.1479	1470.4684	222.0551	1441.2811	1160.272	681.0396	1529.7122	1870.4343	1221.4182	1534.2991	2153.5487	1477.0785	1250.715	548.0663
"MRGPRF"	20.7426	1208.8353	17.8042	12.9676	90.3614	40.7688	14.8385	80.7018	108.5409	115.5901	15.3574	12.3307	9.2098	17.3661	25.1385	19.8887	34.188	32.5851	124.3094
"MRI1"	231.2942	316.2651	153.7092	648.6284	277.8614	284.5079	99.2144	238.0952	219.306	722.6809	213.8216	447.0762	615.8032	242.1611	976.9919	501.9909	293.7063	673.8886	198.895
"MRM1"	437.5836	184.739	303.5608	157.3566	231.5512	131.9161	336.9217	342.3559	273.1317	254.4925	283.5204	242.0341	169.1261	410.9986	241.585	313.446	336.0528	152.8729	342.5414
"MRO"	2.5573	104.4177	9.7923	10.2244	3.3886	19.2196	65.1731	13.0326	15.1246	24.7693	1.772	4.2277	2.0931	0	18.7473	9.5466	18.2595	1.7333	1.105
"MRPL1"	143.2092	39.1566	439.1691	396.5087	307.2289	161.3279	133.8376	56.1404	257.1174	511.4133	96.8695	403.3902	417.3731	219.4887	257.7759	287.1929	391.9969	329.318	81.2155
"MRPL10"	2224.8569	1600.4016	1116.3205	924.9377	1356.9277	1393.1275	1704.1024	2180.4511	1126.7794	1193.7834	2154.1642	1705.1605	1650.2355	1453.9315	1040.0511	854.4187	1034.188	981.3675	1332.5967
"MRPL11"	1020.3654	1021.0843	986.3501	601.4963	1302.7108	371.2871	319.7556	957.8947	463.5231	1451.1899	1376.8458	643.3105	996.7556	1175.1085	651.896	642.8029	792.9293	736.9789	691.7127
"MRPL13"	417.6934	118.4739	714.5401	380.2993	611.0693	542.8072	350.8874	187.4687	419.0391	961.6319	326.6391	651.4136	715.4369	328.5094	489.9872	910.107	795.2603	513.736	229.8343
"MRPL14"	706.9532	788.1526	1395.2522	456.3591	955.1958	1103.378	452.4294	1963.9098	374.5552	1617.2899	1675.1329	260.354	1423.3386	2218.5239	801.8747	1506.7681	1002.7195	1069.7634	1359.116
"MRPL15"	1077.7627	455.8233	1106.2315	834.6633	2185.241	1166.8608	577.8295	1037.594	928.3808	2022.3409	1917.8972	1251.0382	1003.8723	1534.4911	858.1167	2136.8422	1753.3023	1118.2945	545.3039
"MRPL16"	646.4303	565.261	935.905	718.9526	898.7199	648.8061	399.1853	754.8872	685.0534	1592.035	722.977	897.6754	652.6426	1576.9416	482.7439	1934.773	1036.1305	945.6625	542.5414
"MRPL17"	1349.9738	948.7952	1205.9347	1036.1596	1176.2048	1282.1782	599.3599	2617.0426	577.847	2400.6799	1831.0691	1047.0531	550.0785	2215.6295	913.9327	2415.2841	1062.1601	1337.3776	1520.9945
"MRPL18"	906.4232	620.4819	466.7656	537.1571	613.3283	817.1229	699.7381	1014.5363	509.3416	1107.3337	403.4259	407.9702	522.0304	1834.0569	533.447	1836.9206	859.3629	990.7271	759.116
"MRPL19"	1041.3921	352.4096	1075.6677	1448.8778	726.2801	1213.1625	1269.1301	518.797	1232.2064	807.188	460.7206	1011.4702	1093.4589	1057.8871	822.3264	895.7872	998.0575	697.8074	546.4088
"MRPL2"	967.5144	1063.253	1102.0772	600.2494	1322.6657	582.12	456.2118	1618.0451	276.6904	800.3885	2575.3101	312.143	1088.4354	2601.5437	625.0533	1536.999	658.5082	680.8216	1490.0552
